date,open,high,low,close,volume
2026-02-27,272.81,272.81,262.89,264.18,72366505
2026-02-26,274.945,276.11,270.795,272.95,32345114
2026-02-25,271.78,274.94,271.05,274.23,33714342
2026-02-24,267.86,274.89,267.71,272.14,47014619
2026-02-23,263.49,269.43,263.381,266.18,37308155
2026-02-20,258.97,264.75,258.16,264.58,42070499
2026-02-19,262.6,264.48,260.05,260.58,30845294
2026-02-18,263.6,266.82,262.45,264.35,34203337
2026-02-17,258.05,266.29,255.54,263.88,58469094
2026-02-13,262.01,262.23,255.45,255.78,56290673
2026-02-12,275.59,275.72,260.18,261.73,81077229
2026-02-11,274.695,280.18,274.45,275.5,51931283
2026-02-10,274.885,275.37,272.94,273.68,34376898
2026-02-09,277.905,278.2,271.7,274.62,44623396
2026-02-06,277.12,280.905,276.925,278.12,50453414
2026-02-05,278.13,279.5,273.23,275.91,52977441
2026-02-04,272.285,278.95,272.285,276.49,90545710
2026-02-03,269.2,271.875,267.61,269.48,63799388
2026-02-02,260.03,270.49,259.205,270.01,73913425
2026-01-30,255.165,261.8999,252.18,259.48,92443408
2026-01-29,258.0,259.65,254.41,258.28,67253009
2026-01-28,257.65,258.855,254.51,256.44,41287971
2026-01-27,259.17,261.95,258.21,258.27,48787855
2026-01-26,251.48,256.56,249.8,255.41,55969234
2026-01-23,247.32,249.41,244.68,248.04,41688982
2026-01-22,249.2,251.0,248.15,248.35,39708340
2026-01-21,248.7,251.56,245.18,247.65,54641725
2026-01-20,252.73,254.79,243.42,246.7,77280987
2026-01-16,257.9,258.9,254.93,255.53,72142773
2026-01-15,260.65,261.04,257.05,258.21,39388564
2026-01-14,259.49,261.82,256.71,259.96,40019421
2026-01-13,258.72,261.81,258.39,261.05,45730847
2026-01-12,259.16,261.3,256.8,260.25,45263767
2026-01-09,259.075,260.21,256.22,259.37,39996967
2026-01-08,257.02,259.29,255.7,259.04,50419337
2026-01-07,263.2,263.68,259.81,260.33,48309804
2026-01-06,267.0,267.55,262.12,262.36,52352090
2026-01-05,270.64,271.51,266.14,267.26,45647190
2026-01-02,272.255,277.84,269.0,271.01,37838054
2025-12-31,273.06,273.68,271.75,271.86,27293639
2025-12-30,272.81,274.08,272.28,273.08,22139617
2025-12-29,272.69,274.36,272.35,273.76,23715213
2025-12-26,274.16,275.37,272.86,273.4,21521802
2025-12-24,272.34,275.43,272.195,273.81,17910574
2025-12-23,270.84,272.5,269.56,272.36,29641999
2025-12-22,272.86,273.88,270.505,270.97,36571827
2025-12-19,272.145,274.6,269.9,273.67,144632048
2025-12-18,273.605,273.63,266.95,272.19,51630721
2025-12-17,275.01,276.16,271.64,271.84,50138743
2025-12-16,272.82,275.5,271.79,274.61,37648628
2025-12-15,280.15,280.15,272.84,274.11,50409078
2025-12-12,277.9,279.22,276.82,278.28,39532887
2025-12-11,279.095,279.59,273.81,278.03,33247986
2025-12-10,277.75,279.75,276.44,278.78,33038318
2025-12-09,278.16,280.03,276.92,277.18,31753410
2025-12-08,278.13,279.6693,276.15,277.89,36406317
2025-12-05,280.54,281.14,278.05,278.78,47265845
2025-12-04,284.095,284.73,278.59,280.7,43989056
2025-12-03,286.2,288.62,283.3,284.15,43538687
2025-12-02,283.0,287.4,282.6301,286.19,53669532
2025-12-01,278.01,283.42,276.14,283.1,46587722
2025-11-28,277.26,279.0,275.9865,278.85,20135620
2025-11-26,276.96,279.53,276.63,277.55,33431423
2025-11-25,275.27,280.38,275.25,276.97,46914220
2025-11-24,270.9,277.0,270.9,275.92,65585796
2025-11-21,265.95,273.33,265.67,271.49,59030832
2025-11-20,270.83,275.43,265.92,266.25,45823568
2025-11-19,265.525,272.21,265.5,268.56,40424492
2025-11-18,269.99,270.71,265.32,267.44,45677278
2025-11-17,268.815,270.49,265.73,267.46,45018260
2025-11-14,271.05,275.96,269.6,272.41,47431331
2025-11-13,274.11,276.699,272.09,272.95,49602794
2025-11-12,275.0,275.73,271.7,273.47,48397982
2025-11-11,269.81,275.91,269.8,275.25,46208318
2025-11-10,268.96,273.73,267.455,269.43,41312412
2025-11-07,269.795,272.29,266.77,268.47,48227365
2025-11-06,267.89,273.4,267.89,269.77,51204045
2025-11-05,268.61,271.7,266.93,270.14,42586288
2025-11-04,268.325,271.486,267.615,270.04,49274846
2025-11-03,270.42,270.85,266.25,269.05,50194583
2025-10-31,276.99,277.32,269.16,270.37,86167123
2025-10-30,271.99,274.14,268.48,271.4,69886534
2025-10-29,269.275,271.41,267.11,269.7,51086742
2025-10-28,268.985,269.89,268.15,269.0,41534759
2025-10-27,264.88,269.12,264.6501,268.81,44888152
2025-10-24,261.19,264.13,259.18,262.82,38253717
2025-10-23,259.94,260.62,258.0101,259.58,32754941
2025-10-22,262.65,262.85,255.43,258.45,45015254
2025-10-21,261.88,265.29,261.83,262.77,46695948
2025-10-20,255.885,264.375,255.63,262.24,90483029
2025-10-17,248.02,253.38,247.27,252.29,49146961
2025-10-16,248.25,249.04,245.13,247.45,39776974
2025-10-15,249.485,251.82,247.47,249.34,33893611
2025-10-14,246.6,248.845,244.7,247.77,35477986
2025-10-13,249.38,249.69,245.56,247.66,38142942
2025-10-10,254.94,256.38,244.0,245.27,61999098
2025-10-09,257.805,258.0,253.14,254.04,38322012
2025-10-08,256.52,258.52,256.11,258.06,36496895
2025-10-07,256.805,257.4,255.43,256.48,31955776
2025-10-06,257.99,259.07,255.05,256.69,44664118
