date,open,high,low,close,volume
2026-02-27,402.94,407.12,398.11,402.51,56890097
2026-02-26,414.42,416.81,403.66,408.58,53602497
2026-02-25,412.15,420.34,412.15,417.4,54809704
2026-02-24,399.5,410.82,397.64,409.38,58579482
2026-02-23,407.285,407.7,394.04,399.83,69680026
2026-02-20,408.3,414.7,405.5,411.82,57912225
2026-02-19,407.25,415.2499,404.11,411.71,51019638
2026-02-18,411.11,416.9,409.58,411.32,45921402
2026-02-17,412.36,413.72,400.51,410.63,59678789
2026-02-13,414.305,424.06,410.88,417.44,51434147
2026-02-12,430.3,436.23,414.0,417.07,61933359
2026-02-11,427.955,436.35,420.03,428.27,57361989
2026-02-10,418.08,427.25,417.0,425.21,64450233
2026-02-09,409.905,421.25,407.29,417.32,54484258
2026-02-06,400.87,414.55,397.751,411.11,62677144
2026-02-05,397.015,402.1,387.5309,397.21,72819838
2026-02-04,420.46,423.9,399.18,406.01,74606873
2026-02-03,424.27,428.56,413.6901,421.96,56269638
2026-02-02,421.29,427.15,414.5,421.81,58739455
2026-01-30,425.35,439.88,422.7,430.41,82626066
2026-01-29,437.8,440.2299,414.62,416.56,81686127
2026-01-28,431.91,438.26,430.1,431.46,54857403
2026-01-27,437.41,437.52,430.69,430.9,37321502
2026-01-26,445.0,445.04,434.28,435.2,49397415
2026-01-23,447.425,452.43,444.04,449.06,56771364
2026-01-22,435.16,449.5,432.63,449.36,71546729
2026-01-21,421.66,438.2,419.6201,431.44,68123987
2026-01-20,429.36,430.725,417.44,419.25,62208186
2026-01-16,439.5,447.25,435.2601,437.5,60220551
2026-01-15,441.125,445.36,437.65,438.57,49465813
2026-01-14,442.81,443.91,434.22,439.2,57259500
2026-01-13,450.2,451.81,443.95,447.2,53719214
2026-01-12,441.225,454.3,438.0,448.96,61649627
2026-01-09,435.945,449.05,430.39,445.01,67331456
2026-01-08,427.89,436.89,424.365,435.8,57041094
2026-01-07,435.9,438.37,431.29,431.41,59828790
2026-01-06,446.38,448.25,428.78,432.96,89093758
2026-01-05,447.99,457.5499,444.57,451.67,67940839
2026-01-02,457.8,458.34,435.3,438.07,85535406
2025-12-31,456.1,456.55,449.3,449.72,49077961
2025-12-30,461.09,463.12,453.83,454.43,59238464
2025-12-29,469.0,469.4,459.0,459.64,66263033
2025-12-26,485.23,489.09,473.82,475.19,58780659
2025-12-24,488.48,490.9,476.8,485.4,41285429
2025-12-23,489.395,491.97,482.84,485.56,58223633
2025-12-22,489.88,498.83,485.33,488.73,86916066
2025-12-19,488.12,490.49,474.72,481.2,103305424
2025-12-18,478.16,490.86,473.12,483.37,95168446
2025-12-17,488.22,495.2799,466.2,467.26,106490405
2025-12-16,472.21,491.5,465.83,489.88,107608075
2025-12-15,469.44,481.7694,467.66,475.31,114542204
2025-12-12,448.09,463.01,441.67,458.96,95656749
2025-12-11,448.945,449.2699,440.33,446.89,55979492
2025-12-10,446.065,456.88,443.61,451.45,63257475
2025-12-09,437.54,452.39,435.7,445.17,62014951
2025-12-08,447.445,449.7463,435.25,439.58,68386756
2025-12-05,453.03,458.87,451.66,455.0,56427522
2025-12-04,449.94,454.63,445.39,454.53,71906488
2025-12-03,432.1,447.92,431.11,446.74,87482964
2025-12-02,430.81,436.8,422.12,429.24,69336626
2025-12-01,425.32,433.6599,425.29,430.14,57463552
2025-11-28,426.59,432.93,426.2,430.17,36252861
2025-11-26,423.95,426.94,416.89,426.58,63462996
2025-11-25,414.42,420.48,405.95,419.4,71915624
2025-11-24,402.17,421.72,401.09,417.78,96806374
2025-11-21,402.32,402.8,383.76,391.09,100460633
2025-11-20,414.63,428.94,394.74,395.23,113548827
2025-11-19,406.18,411.78,398.5,403.99,72047704
2025-11-18,405.38,408.9,393.71,401.25,80688637
2025-11-17,398.74,423.96,398.74,408.92,102214259
2025-11-14,386.3,412.19,382.78,404.35,105506682
2025-11-13,423.13,424.5,396.34,401.99,118948032
2025-11-12,442.15,442.329,426.56,430.6,58513520
2025-11-11,439.4,442.49,432.36,439.62,60533237
2025-11-10,439.6,449.6715,433.36,445.23,76515907
2025-11-07,437.92,439.36,421.88,429.52,103471495
2025-11-06,461.96,467.45,435.09,445.91,109622907
2025-11-05,452.05,466.3299,440.71,462.07,84911911
2025-11-04,454.46,460.22,443.6,444.26,87756644
2025-11-03,455.99,474.07,453.8,468.37,84595244
2025-10-31,446.75,458.0,443.6855,456.56,83135787
2025-10-30,451.05,455.0607,439.61,440.1,72447938
2025-10-29,462.5,465.7,452.65,461.51,67983544
2025-10-28,454.775,467.0,451.6,460.55,80185667
2025-10-27,439.98,460.16,438.69,452.42,105867547
2025-10-24,446.83,451.68,430.17,433.72,94727774
2025-10-23,420.0,449.3999,413.9,448.98,126709833
2025-10-22,443.45,445.539,429.0,438.97,84023458
2025-10-21,445.755,449.3,442.05,442.6,54412169
2025-10-20,443.865,449.8,440.61,447.43,63718971
2025-10-17,425.5,441.4558,423.6,439.31,89331578
2025-10-16,434.73,439.35,421.3101,428.75,77189889
2025-10-15,434.9,440.51,426.3301,435.15,71558185
2025-10-14,426.79,434.2,417.86,429.24,72669438
2025-10-13,423.53,436.89,419.7,435.9,79552785
2025-10-10,436.54,443.13,411.45,413.49,112107870
2025-10-09,431.81,436.35,426.18,435.54,69339928
2025-10-08,437.57,441.33,425.23,438.69,71192128
2025-10-07,447.82,452.68,432.4501,433.09,102296082
2025-10-06,440.75,453.55,436.69,453.25,85324878
